text_index,architectural_entities,total_arch_entities,pattern_indicators,most_likely_pattern,model
10,"[{'entity': 'English', 'type': 'MISC', 'score': 0.9785471558570862, 'relevance': 'ALTA'}]",1,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
11,"[{'entity': 'GPU', 'type': 'MISC', 'score': 0.6834731698036194, 'relevance': 'BAIXA'}]",1,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
12,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
13,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
14,"[{'entity': 'J', 'type': 'MISC', 'score': 0.631556510925293, 'relevance': 'BAIXA'}, {'entity': 'LL', 'type': 'MISC', 'score': 0.4143355190753937, 'relevance': 'BAIXA'}, {'entity': 'Sophon', 'type': 'ORG', 'score': 0.6481897234916687, 'relevance': 'BAIXA'}]",3,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
15,"[{'entity': 'FastAP', 'type': 'ORG', 'score': 0.6381358504295349, 'relevance': 'BAIXA'}, {'entity': 'API', 'type': 'ORG', 'score': 0.5174587368965149, 'relevance': 'BAIXA'}]",2,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
16,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
17,"[{'entity': 'IPython', 'type': 'ORG', 'score': 0.9900021553039551, 'relevance': 'ALTA'}]",1,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
18,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
19,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
20,"[{'entity': 'G', 'type': 'ORG', 'score': 0.8724064826965332, 'relevance': 'MÉDIA'}, {'entity': '##Q LL', 'type': 'ORG', 'score': 0.870330810546875, 'relevance': 'MÉDIA'}]",2,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
21,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
22,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
23,"[{'entity': 'G', 'type': 'ORG', 'score': 0.6795997023582458, 'relevance': 'BAIXA'}, {'entity': '##H', 'type': 'ORG', 'score': 0.5939143896102905, 'relevance': 'BAIXA'}]",2,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
24,"[{'entity': 'Web', 'type': 'ORG', 'score': 0.7425773739814758, 'relevance': 'MÉDIA'}, {'entity': 'P', 'type': 'ORG', 'score': 0.5222620368003845, 'relevance': 'BAIXA'}, {'entity': 'G', 'type': 'ORG', 'score': 0.7638800740242004, 'relevance': 'MÉDIA'}, {'entity': '##H', 'type': 'ORG', 'score': 0.7640301585197449, 'relevance': 'MÉDIA'}]",4,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
25,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
26,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
27,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
28,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
29,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
30,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
31,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
32,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
33,"[{'entity': 'LL', 'type': 'ORG', 'score': 0.9469804167747498, 'relevance': 'ALTA'}, {'entity': '##o', 'type': 'MISC', 'score': 0.7273825407028198, 'relevance': 'MÉDIA'}, {'entity': 'As', 'type': 'ORG', 'score': 0.612311065196991, 'relevance': 'BAIXA'}, {'entity': 'Destacados', 'type': 'ORG', 'score': 0.816444993019104, 'relevance': 'MÉDIA'}]",4,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
34,"[{'entity': 'E', 'type': 'ORG', 'score': 0.5726118087768555, 'relevance': 'BAIXA'}, {'entity': 'Of', 'type': 'ORG', 'score': 0.6829588413238525, 'relevance': 'BAIXA'}]",2,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
35,"[{'entity': 'Lora', 'type': 'ORG', 'score': 0.6371556520462036, 'relevance': 'BAIXA'}, {'entity': 'Des', 'type': 'ORG', 'score': 0.8409836888313293, 'relevance': 'MÉDIA'}, {'entity': 'de Re', 'type': 'ORG', 'score': 0.5508540868759155, 'relevance': 'BAIXA'}]",3,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
36,"[{'entity': '##TT', 'type': 'ORG', 'score': 0.4164130687713623, 'relevance': 'BAIXA'}, {'entity': 'Cha', 'type': 'ORG', 'score': 0.5065199136734009, 'relevance': 'BAIXA'}, {'entity': '##TTS', 'type': 'ORG', 'score': 0.49160587787628174, 'relevance': 'BAIXA'}]",3,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
37,"[{'entity': 'C', 'type': 'ORG', 'score': 0.509104311466217, 'relevance': 'BAIXA'}]",1,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
38,"[{'entity': 'Ava', 'type': 'ORG', 'score': 0.5643864870071411, 'relevance': 'BAIXA'}, {'entity': 'Gaussian', 'type': 'MISC', 'score': 0.8680951595306396, 'relevance': 'MÉDIA'}]",2,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
39,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
40,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
41,"[{'entity': '##U', 'type': 'ORG', 'score': 0.9317806959152222, 'relevance': 'ALTA'}, {'entity': '##U', 'type': 'ORG', 'score': 0.49159613251686096, 'relevance': 'BAIXA'}, {'entity': 'El Factor en Tiempo Real', 'type': 'ORG', 'score': 0.9419422149658203, 'relevance': 'ALTA'}, {'entity': 'RTF', 'type': 'ORG', 'score': 0.9573417901992798, 'relevance': 'ALTA'}]",4,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
42,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
43,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
44,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
45,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
46,"[{'entity': 'QQ Group', 'type': 'ORG', 'score': 0.8348487019538879, 'relevance': 'MÉDIA'}, {'entity': 'Chinese', 'type': 'MISC', 'score': 0.5327744483947754, 'relevance': 'BAIXA'}, {'entity': 'Social AP', 'type': 'ORG', 'score': 0.585382878780365, 'relevance': 'BAIXA'}, {'entity': 'Linux', 'type': 'ORG', 'score': 0.45311564207077026, 'relevance': 'BAIXA'}]",4,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
47,"[{'entity': 'Web', 'type': 'ORG', 'score': 0.6459659337997437, 'relevance': 'BAIXA'}, {'entity': 'G', 'type': 'ORG', 'score': 0.5406445860862732, 'relevance': 'BAIXA'}, {'entity': '##H', 'type': 'ORG', 'score': 0.6733278036117554, 'relevance': 'BAIXA'}]",3,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
48,"[{'entity': 'Gaussian', 'type': 'MISC', 'score': 0.9217790961265564, 'relevance': 'ALTA'}]",1,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
49,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
50,"[{'entity': 'English', 'type': 'MISC', 'score': 0.9785471558570862, 'relevance': 'ALTA'}]",1,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
51,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
52,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
53,[],0,"{'MVC (Model-View-Controller)': 0, 'Layered Architecture': 0, 'Microservices Architecture': 0, 'Event-Driven Architecture': 0, 'Pipe-and-Filter Architecture': 0, 'Monolithic Architecture': 0, 'Client-Server Architecture': 0, 'Service-Oriented Architecture (SOA)': 0, 'Repository Architecture': 0, 'Plugin Architecture': 0}",MVC (Model-View-Controller),BERT-NER
